fr.geocites.gugus.balance.Bonus,fr.geocites.gugus.transaction.FixedCostTransaction,fr.geocites.marius.SubSurfaceResources,fr.geocites.marius.DoubleRedistribution,fr.geocites.gugus.urbanisation.UrbanTransition,fr.geocites.marius.From1959To1989,fr.geocites.marius.From1989To2010,economicMultiplier,populationToWealthExponent,sizeEffectOnSupply,sizeEffectOnDemand,wealthToPopulationExponent,distanceDecay,bonusMultiplier,fixedCost,oilAndGazEffect,coalEffect,territorialTaxes,capitalShareOfTaxes,ruralMultiplier,modelId,distribution,dead,overflow
true,false,true,false,true,false,true,0.5457075586338125,1.0885314226181741,1.0037711604099009,1.0012060814675259,0.686327934522307,1.4679798893600382,0.0,62.72748733126106,0.01784426794453342,-0.012842438480582197,0.0,0.8322291429728594,0.0011341557500713258,41,0.005178349744377059,0.0,0.0
true,true,false,true,false,false,true,0.6077116334334384,1.0409805691860596,1.0070290925667162,1.0,0.7481621835267591,0.3394240091926793,0.0,96.00992208984323,0.9683233661346695,0.6653620278979031,0.10017093857851309,0.10490296532137551,0.8889612987814862,35,0.004652415713411185,0.0,0.0
false,true,false,false,true,true,false,0.009814794375389221,1.6360111183815942,1.0331192546567576,1.3109046989427304,0.19383881737732936,0.0,4.255354155035705,0.3519918291501631,0.6059594228087768,-0.6489965440236889,0.8634625515166189,0.18467012542897382,0.03323720123646111,24,0.01403885105662753,0.0,0.0
true,false,true,true,false,true,false,0.7683921880030856,1.0,1.0,1.0,0.667559512589405,0.10417941602305503,0.23050900492839968,29.562022744687944,0.01013983392189699,-0.005765442137091958,0.12346736654749246,0.9052563523055267,0.8991916759704988,38,0.015560910341239196,0.0,0.0
true,false,false,false,true,true,false,0.23333809225985683,1.1648179832020489,1.0004366951877386,1.0000717397952419,1.297539963841354,0.0,9.91005706764465E-4,100.0,-0.15513456399097447,0.26500415591363047,1.0,0.04157625360815265,0.01877739564887965,18,0.013141315733498124,0.0,0.0
true,true,false,true,true,true,false,0.47557736134371065,1.0,1.0,1.0736683828491798,0.3797920104519312,0.16266233183218287,100.0,0.37989347230983794,1.0,-0.7072987788478733,0.007678802302583377,0.9932225177184487,0.01951524939234784,56,0.01229932096869332,0.0,0.0
false,true,true,false,true,true,false,0.22956779978440778,1.0,1.0060147652187994,1.0000862700802284,0.4978807570624787,1.1900604238460688,0.0,0.0,0.003649889506903259,-0.009188051497156624,0.10584502493549128,0.30237656656577805,0.03525383970770592,46,0.01432999429049265,0.0,0.0
true,true,true,false,true,false,true,0.14706901066238995,1.1291560960247982,1.0084721479322187,1.0001735427991074,0.3855717898566754,0.010577559121895492,0.0,0.1541192535114768,0.03357820371398512,-0.006690947767560185,0.3241535041381757,1.0,0.004468679542950484,55,0.005050035952365155,0.0,0.0
false,true,false,true,true,false,true,0.5499195643798711,1.053850902747403,1.0081870877725576,1.0002938547454416,0.7302969647936491,0.387356701774937,0.3293446765207466,88.99288500916263,0.9398967647746486,-0.6889266532162787,0.06166658934329989,0.16971493137310534,0.004371315871316516,49,0.004623990338139696,0.0,0.0
true,false,false,false,true,true,false,0.16283173442337928,1.1278834108174083,1.0004513041311418,1.0000855686393948,1.2977642651400827,0.0,0.0010086289738865653,0.0,-0.1438726217108084,0.6239079725416068,0.9615657236310189,0.4249502579465477,0.01918523864736037,18,0.013147829099177848,0.0,0.0
true,true,false,false,true,true,false,0.45926147884180274,1.087433482810118,1.0048303650453545,1.0727165183089493,0.3797580679221674,0.1688227738393809,94.06008710350413,0.37744381154421586,-0.012164781914684175,-0.07001877976268567,0.4174408158078057,0.0,0.018758020168414796,36,0.012609093021082565,0.0,0.0
true,true,false,false,false,true,false,0.3429758649988173,1.0413096151567196,1.0256117601543469,1.1295622691339453,0.40493505979467986,0.010567336557344122,88.33173214615884,0.3356805548834188,0.9574353654043724,-0.8745120290354981,0.04929657939442325,0.0,0.6769414655684681,12,0.013940084413835117,0.0,0.0
true,true,true,true,true,true,false,0.7651442657126877,1.045527825421448,1.0007786011718316,1.0009795585700898,0.35966110868756074,0.05554032719208419,36.5225349727211,0.03196319057298568,-0.04534536160127933,0.010046737740930123,0.7242758041016334,0.9965408206323625,0.01852061240248483,62,0.013175600188541546,0.0,0.0
false,true,false,true,true,false,true,0.5803797209148439,1.0496759673878682,1.0058056173794865,1.0002706933043803,0.7092886371954144,0.39590940757266213,12.907736930439611,92.16720368749233,0.7057900267369814,-0.20966251846362094,0.07505061589157047,0.16842374091885182,0.005882352275731968,49,0.004618244317526473,0.0,0.0
false,true,false,true,true,false,true,0.5603392479689863,1.0393508001909184,1.0056235239799478,1.0000028646281691,0.7486365732740927,0.4105774590672868,2.1419334183580405,87.01130706737025,0.7292507950099927,0.5315874172863841,0.07104620799696576,0.1348510172019006,0.004096273385198098,49,0.004616729425996017,0.0,0.0
true,true,true,true,true,true,false,0.7863969613622651,1.0367205107554969,1.0009117508182974,1.005474008379323,0.359824601627207,0.050575541852402955,36.46990007604511,0.033043057734008216,-0.014167435667689632,-0.008747554298975002,0.6776550297089323,0.9969692505202989,0.018193511841996628,62,0.013163607958483637,0.0,0.0
false,false,false,true,false,true,false,0.1569442106236267,1.0,1.0471439994373144,1.0949084093529757,0.5538391472419512,0.0058503465454688265,100.0,34.43509236854339,-1.0,0.9112057840196106,0.0,0.44573191534063317,0.6427543065882005,8,0.022448375018326888,0.0,0.0
true,true,true,true,true,false,true,0.5944011925431878,1.0460861439873212,1.008675542899728,1.0011556260826333,0.6397907610838925,0.29806290667540486,0.028019497612861575,99.4930212169896,0.04120800178504069,-0.0014967046539954287,0.09587506048718056,0.23665886740085307,2.7856493034499096E-4,63,0.004070024352822985,0.0,0.0
true,false,false,false,true,true,false,0.3412714625625235,1.0829337469824332,1.0004318057178598,1.0000401874080063,1.2998466007394578,0.0,9.383246587048373E-4,12.633010228044569,0.5845318569649804,0.24623782042069164,0.5401286514169943,1.0,0.018860973132787402,18,0.013151758472133783,0.0,0.0
